,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,week,date
20191213,0.22,-1.33,-0.4,-1.08,0.26,0.1,-0.22,0.03,0.67,-0.15,50,9/12/2019
20191216,0.51,1.99,-0.04,1.58,1.03,0.54,0.39,0.89,1.21,0.63,51,16/12/2019
20191217,-0.06,0.03,0.09,0.18,-0.19,-0.08,0.44,0.21,0.43,0.26,51,16/12/2019
20191218,0.35,1.52,-0.23,0.26,0.07,-0.24,-0.3,0.01,0.55,-0.25,51,16/12/2019
20191219,0.52,0.28,0.43,-0.1,0.71,0.59,0.44,0.37,0.04,0.24,51,16/12/2019
20191220,0.91,0.41,0.47,0.81,0.48,0.92,0.12,0.75,0.74,0.28,51,16/12/2019
20191223,-0.13,0.38,0.46,0.98,0.35,-0.56,-0.31,0.51,-0.78,-0.13,52,23/12/2019
20191224,-0.08,0.32,-0.25,0.03,-0.07,0.18,0.2,0.07,0.01,0.09,52,23/12/2019
20191226,0.19,0.16,0.11,0.08,0.78,0.44,1.3,-0.24,0.17,0.45,52,23/12/2019
20191227,0.33,-0.2,0.03,-0.57,-0.09,0.07,-0.02,-0.24,0.15,-0.16,52,23/12/2019
20191230,-0.4,-1.33,-0.55,-0.37,-0.71,-0.47,-0.56,-0.74,-0.03,-0.44,53,30/12/2019
20191231,0.21,0.44,0.2,0.77,0.33,0.24,0.06,0.36,0.58,0.21,53,30/12/2019
20200102,-0.73,1.37,0.53,0.94,1.82,0.44,0.94,0.11,-1.31,0.89,53,30/12/2019
20200103,-0.03,-0.67,-0.47,-0.33,-0.81,-0.46,-0.72,-0.81,0.2,-0.85,53,30/12/2019
20200106,0.2,0.23,-0.17,0.82,0.7,-0.07,0.53,0.51,0.21,0.06,54,6/1/2020
20200107,-0.72,0.43,-0.18,-0.18,0.06,0.1,-0.2,-0.32,-0.2,-0.42,54,6/1/2020
20200108,0.42,1.1,0.14,-1.9,0.88,0.31,-0.01,0.51,-0.26,0.77,54,6/1/2020
20200109,0.3,-0.78,0.56,0.63,1.09,-0.06,0.64,0.57,0.5,0.51,54,6/1/2020
20200110,-0.13,-0.82,-0.69,-0.74,-0.13,-0.52,-0.53,0.04,0.16,-0.5,54,6/1/2020
20200113,1.17,2.93,0.93,0.01,1.24,0.24,0.14,-0.07,0.72,0.63,55,13/1/2020
20200114,0.08,0.84,0.08,0.07,-0.55,0.3,-0.1,0.85,0.28,-0.06,55,13/1/2020
20200115,0.55,-1.16,0.29,-0.56,0.11,0.11,-0.17,0.57,1.23,0.08,55,13/1/2020
20200116,0.47,0.54,0.89,0.03,1.21,0.73,0.82,0.45,0.62,0.96,55,13/1/2020
20200117,0.09,-0.32,0.09,-0.74,0.65,0.31,-0.03,-0.07,0.61,0.35,55,13/1/2020
20200121,0.11,1.24,-0.81,-1.89,-0.19,-0.01,0.3,-0.19,0.39,-0.72,56,20/1/2020
20200122,0.3,0.61,-0.38,-1,0.25,0.61,-0.02,0.12,0.13,0.05,56,20/1/2020
20200123,-0.27,0.35,0.26,-0.6,0.32,-1.16,0.13,-0.58,0.99,0.23,56,20/1/2020
20200124,-0.72,-1.42,-0.63,-1.24,-0.59,-1.16,-1.23,-1.66,0.11,-1.2,56,20/1/2020
20200127,-0.91,-1.74,-1.5,-2.78,-2.19,-1.17,-0.86,-0.3,-0.45,-1.82,57,27/1/2020
20200128,0.07,1.33,0.51,0.55,1.72,0.8,0.84,0.43,0.45,1.08,57,27/1/2020
20200129,-0.32,0.35,-0.31,-1.12,0.28,-2.19,-0.13,0.01,0.1,-0.04,57,27/1/2020
20200130,1.29,2.68,0.03,0.82,0.09,0.8,0.05,-0.44,0.83,0.73,57,27/1/2020
20200131,-1.53,-0.65,-1.89,-3.28,-2.51,-0.02,0.64,-1.7,-0.57,-2.15,57,27/1/2020
20200203,0.32,6.82,0.8,-1.59,1.35,-0.2,0.19,1.18,0.46,0.74,58,3/2/2020
20200204,0.63,5.83,1.76,0.06,2.08,1.76,1.43,1.73,-0.82,1.37,58,3/2/2020
20200205,0.55,-6.17,1.67,4.17,0.44,0.07,0.83,1.38,0.58,1.67,58,3/2/2020
20200206,0.09,-0.18,0.23,-1.27,0.97,0.69,-0.01,0.14,-0.08,-0.12,58,3/2/2020
20200207,0.06,-1.38,-1.06,-0.89,-0.77,0.09,0.14,-0.73,-0.33,-0.51,58,3/2/2020
20200210,0.59,1.44,0.46,-0.74,1.23,0.31,1.11,0.66,0.34,0.37,59,10/2/2020
20200211,0.1,0.96,0.28,1.08,-0.27,1.17,0.61,0.4,0.36,0.49,59,10/2/2020
20200212,0,0.45,0.75,1.35,1.06,0.58,0.74,-0.31,0.1,0.72,59,10/2/2020
20200213,0.16,1.43,-0.11,-0.4,-0.26,0.03,0.01,-0.5,1.01,-0.03,59,10/2/2020
20200214,0.15,-0.91,-0.09,-0.58,0.47,-0.17,-0.16,0.32,0.62,0.01,59,10/2/2020
20200218,-0.54,2.09,-0.81,-0.79,-0.23,0.23,0.52,-0.27,0.68,-0.41,60,17/2/2020
20200219,0.07,2.65,0.27,1.44,0.88,0.66,0.21,0.46,-0.76,0.68,60,17/2/2020
20200220,0.02,-0.45,-0.05,-0.23,-0.88,-0.36,0.13,-0.43,0.43,-0.13,60,17/2/2020
20200221,-0.13,-0.84,-0.38,-1.36,-2.08,-0.43,-1.12,-0.02,-0.24,-1.03,60,17/2/2020
20200224,-2.61,-5.26,-3.16,-4.86,-4.05,-2.12,-2.96,-2.5,-1.35,-3.64,61,24/2/2020
20200225,-2.11,-3.72,-3.51,-4.37,-2.92,-2.44,-2.3,-2.53,-2.28,-3.94,61,24/2/2020
20200226,-0.51,-1.53,-0.62,-3.3,0.31,-1.43,-0.55,0.08,-1.19,-1.03,61,24/2/2020
20200227,-3.84,-6.56,-3.97,-5.61,-4.89,-3.45,-4.27,-3.01,-4.58,-3.92,61,24/2/2020
20200228,-1.9,-0.95,-1.21,1.73,0.7,-1.23,-1.42,-1.42,-3.16,-1.5,61,24/2/2020
20200302,3.92,5.67,3.95,2.44,4.7,3.89,4.47,4.36,5.44,4.13,62,2/3/2020
20200303,-1.22,-1.89,-1.98,-3.23,-3.42,-2.48,-2.24,-2.61,-1.18,-3.3,62,2/3/2020
20200304,4.5,1.88,3.97,2.11,4.05,3.78,3.59,4.98,5.24,3.96,62,2/3/2020
20200305,-2.53,-3.96,-4.17,-3.77,-3.4,-3.19,-2.82,-1.96,-1.73,-4.37,62,2/3/2020
20200306,-1.51,-2.69,-1.12,-5.63,-2.06,-0.72,-0.91,-0.65,-1.19,-2.29,62,2/3/2020
20200309,-5.96,-10.29,-8.25,-19.68,-7.3,-6.56,-5.05,-5.65,-7.18,-9.59,63,9/3/2020
20200310,3.17,5.63,4.35,5.4,5.74,3.94,4.47,3.21,1.25,5.6,63,9/3/2020
20200311,-4.27,-3.52,-6.48,-5.76,-4.94,-3.67,-4.74,-4.58,-5.07,-5.47,63,9/3/2020
20200312,-9.87,-10.27,-10.26,-11.58,-9.51,-9.09,-9.29,-7.48,-10.55,-10.34,63,9/3/2020
20200313,7.11,3.98,7.88,9.11,10.7,9.08,7.05,6.61,6.17,10.57,63,9/3/2020
20200316,-9.12,-14.41,-11.06,-13.37,-13.15,-8.85,-10.66,-9.62,-11.65,-13.51,64,16/3/2020
20200317,7.4,-0.47,5.95,1.42,6.36,4.14,6.11,5.94,11.78,4.82,64,16/3/2020
20200318,-6.05,-11.52,-6.63,-13.08,-4.33,-4.13,-2.66,-2.47,-5.75,-8.84,64,16/3/2020
20200319,-1.02,7.32,0.34,5.47,1.5,1.16,2.43,-1.04,-3.63,2.71,64,16/3/2020
20200320,-6.15,-2.64,-5.47,0.16,-3.6,-6.83,-3.61,-4.23,-7.45,-3.81,64,16/3/2020
20200323,-3.12,-1.61,-4.25,-6.69,-0.82,-1.32,0.52,-3.79,-5.62,-4.75,65,23/3/2020
20200324,7.45,15,10.71,15.99,9.15,5.77,6.03,6.99,10.94,12.29,65,23/3/2020
20200325,2.13,4.46,3.65,4.46,-0.76,0.43,-1.17,0.51,2.85,3.69,65,23/3/2020
20200326,5.69,1.48,7.17,6,6.15,6.9,4.32,6.45,8.07,6.01,65,23/3/2020
20200327,-1.95,-3.37,-3.28,-6.94,-4.2,-4.19,-2.62,-2.15,-0.07,-4.02,65,23/3/2020
20200330,3.99,0.03,2.51,1.53,3.93,2.63,2.9,4.81,3.3,2.05,66,30/3/2020
20200331,-1.66,0.35,-1.99,1.42,-1.12,-2.18,-1.46,-0.31,-3.36,-2.03,66,30/3/2020
20200401,-3.34,-6.55,-4.21,-4.4,-4.66,-3.01,-2.79,-4,-6.2,-5.58,66,30/3/2020
20200402,2.32,-2.44,1.76,9,1.89,2.97,0.8,3.47,3.39,1.8,66,30/3/2020
20200403,0.44,0.41,-1.29,-1.32,-1.72,-2.39,-1.1,-0.68,-3.29,-2.67,66,30/3/2020
20200406,4.48,8.16,7.14,5.11,8.14,5.98,6.68,4.97,7.43,7.92,67,6/4/2020
20200407,0.54,3.87,-0.16,1.61,-0.69,1.17,0.31,-1.34,-0.79,0.56,67,6/4/2020
20200408,2.08,3.39,3.97,7.14,2.78,1.52,2.13,3.78,5.23,4.54,67,6/4/2020
20200409,2.11,3.86,1.59,-1.25,0.38,1.6,1.14,0.97,4.77,3.27,67,6/4/2020
20200413,-2.26,2.56,-2.32,-0.38,0.33,-1.31,1.56,-0.94,-2.95,-2.84,68,13/4/2020
20200414,3.95,4.77,2.43,-0.6,3.99,3.15,4.02,3.55,2.82,1.28,68,13/4/2020
20200415,-2.57,-1.25,-2.82,-4.43,-1.45,-2.36,-1.26,-0.97,-3.52,-3.45,68,13/4/2020
20200416,0.3,0.59,-0.33,-4.24,1.19,0.51,2.35,1.89,0.02,-0.81,68,13/4/2020
20200417,1.86,2.9,4.5,10.63,1.28,2.26,1.31,3.04,3.56,4.16,68,13/4/2020
20200420,-1.96,-1.39,-2.7,-3.4,-1.31,-1.55,-1.01,0.04,-3.57,-2.14,69,20/4/2020
20200421,-3.03,-4.96,-2.51,-1.36,-4.01,-2.84,-2.37,-3.1,-1.48,-2.75,69,20/4/2020
20200422,1.03,2.96,1.68,3.86,3.79,0.66,2.02,1.56,2.62,1.3,69,20/4/2020
20200423,-0.72,-0.45,0.41,3.46,-0.33,0.38,-0.05,0.64,-1.57,0.52,69,20/4/2020
20200424,1.51,2.15,0.65,0.11,1.88,1.12,1.55,1.53,0.78,1.25,69,20/4/2020
20200427,1.77,6.21,1.82,2.24,0.91,2.14,0.73,1.17,1.24,3.36,70,27/4/2020
20200428,1.5,-0.85,1.28,2.22,-1.63,-0.14,-0.61,-2.35,0.55,0.8,70,27/4/2020
20200429,0.3,3.64,2.52,7.91,4.34,2.44,1.39,0.93,-0.4,3.57,70,27/4/2020
20200430,-2.05,-2.91,-2.27,-1.76,0,-2.63,0.3,-0.91,-2.4,-2.45,70,27/4/2020
20200501,-2.01,-6.46,-2.79,-6.33,-2.71,-1.48,-3.83,-1.92,-2.63,-3.11,70,27/4/2020
20200504,-0.29,3.22,-0.68,3.85,1.26,-0.87,0.9,0.6,0.84,-0.5,71,4/5/2020
20200505,0.21,0.76,0.52,-0.03,1.54,-0.36,0.5,2.24,0.96,0.29,71,4/5/2020
20200506,-0.49,0.81,-1.31,-2.61,0.78,-1.77,0.2,-0.64,-3.42,-1.69,71,4/5/2020
20200507,-0.04,0.66,0.87,2.28,1.67,1.88,0.88,0.15,0.74,1.84,71,4/5/2020
20200508,2.84,4.36,3.25,4.58,1.28,2.74,1.44,0.76,2.25,2.32,71,4/5/2020
20200511,-0.59,-1.46,-1.11,-1.78,0.89,-1.16,0.62,2.51,-0.55,-1.64,72,11/5/2020
20200512,-1.12,-1.73,-2.41,-1.99,-2.03,-2.06,-2.01,-1.75,-1.11,-2.72,72,11/5/2020
20200513,-1.43,-3.39,-2.39,-4.52,-1.72,-1.86,-0.98,-1,-1.21,-2.76,72,11/5/2020
20200514,0.27,1.97,0.95,0.93,0.96,1.5,0.82,0.48,0.97,2.27,72,11/5/2020
20200515,0.41,0.19,0.48,-0.3,0.71,0.75,1.24,0.98,-0.96,-0.01,72,11/5/2020
20200518,2.36,4.99,5.34,8.23,2.02,4.5,2.21,1.1,4.48,5.29,73,18/5/2020
20200519,-1.37,-1.15,-1.49,-2.95,-0.25,-1.37,-0.33,-1.46,-1.7,-1.74,73,18/5/2020
20200520,1.5,1.58,1.65,3.84,2.28,1.42,1.19,0.61,0.86,2.17,73,18/5/2020
20200521,-0.88,0.95,-0.11,-1.31,-1,-0.63,-0.31,-0.8,-0.94,-0.56,73,18/5/2020
20200522,0.31,-0.42,0.03,-0.7,0.75,0.17,-0.19,0.3,1.05,-0.07,73,18/5/2020
20200526,1.56,2.65,3.19,2.81,-0.18,1.72,0.49,-0.95,1.04,3.97,74,25/5/2020
20200527,2.08,1.77,2.94,1.06,0.54,2.05,1.05,0.56,1.04,3.34,74,25/5/2020
20200528,-0.02,-2.28,-0.39,-3.05,-0.23,-1.03,-0.33,0.99,2.39,-1.47,74,25/5/2020
20200529,0.08,0.68,-0.46,-0.35,1.32,0.84,0.85,1.46,0.76,-0.67,74,25/5/2020
20200601,0.89,4.26,0.54,1.91,0.41,0.1,0.48,-1.07,0.97,0.85,75,1/6/2020
20200602,0.36,-0.08,1.13,2.97,0.76,0.61,0.68,0.56,0.62,0.98,75,1/6/2020
20200603,1.07,2.08,3.14,3.08,0.62,1.67,0.81,-0.31,1.39,2.93,75,1/6/2020
20200604,0.02,0.28,0.3,-0.12,-1.02,0.46,-0.62,-1.07,-1.61,0.94,75,1/6/2020
20200605,2.16,3.86,3.19,7.97,2.21,1.35,1.51,1.2,1.78,3.61,75,1/6/2020
20200608,1.52,4.03,1.57,4.54,0.65,1.95,1.19,0.84,2.93,1.55,76,8/6/2020
20200609,-1.4,-1.78,-1.88,-3.67,0.4,-2.02,0.29,-0.93,-2.36,-1.8,76,8/6/2020
20200610,-0.75,1.71,-1.74,-5.16,1.26,-0.85,-0.28,0.18,-0.84,-2.71,76,8/6/2020
20200611,-5.27,-6.39,-6.82,-9.27,-5.48,-5.27,-3.99,-5.32,-4.74,-7.58,76,8/6/2020
20200612,0.66,-0.21,1.73,3.19,1.22,1.11,0.13,0.79,-0.14,2.38,76,8/6/2020
20200615,1.55,3.01,1.14,-0.21,1.22,0.75,0.77,0.7,1,1.05,77,15/6/2020
20200616,1.85,0.44,2.1,2.98,2,0.74,2.09,2.38,0.55,1.7,77,15/6/2020
20200617,-0.34,-0.32,-0.56,-3.59,0.05,-0.89,0.12,-0.13,-0.65,-1,77,15/6/2020
20200618,0.51,0.41,-0.09,1.14,0.34,0.8,-0.21,-0.03,0.04,-0.1,77,15/6/2020
20200619,-1.26,-0.33,-0.83,-1.57,-0.36,-1.15,0.1,1.34,-2.93,-0.82,77,15/6/2020
20200622,-0.12,-0.15,0.09,0.44,1.62,-0.51,1.03,-0.1,1.15,0.1,78,22/6/2020
20200623,-0.19,0.4,0.01,0.11,0.67,0.14,0.75,0.23,-1.05,0.58,78,22/6/2020
20200624,-2.23,-3.91,-2.86,-5.6,-2.28,-2.25,-1.63,-2.53,-1.28,-3.62,78,22/6/2020
20200625,0.62,1.64,1.13,1.92,1.14,0.37,0.32,1.11,-0.92,2.01,78,22/6/2020
20200626,-2.31,-2.07,-2.18,-3.57,-2.43,-2.16,-1.84,-1.38,-1.38,-3.49,78,22/6/2020
20200629,2.13,3.89,3.02,1.65,1.19,2.17,1.12,0.57,1.92,1.78,79,29/6/2020
20200630,0.84,3.73,0.96,2.1,1.88,0.56,1.57,1.79,0.74,1.54,79,29/6/2020
20200701,0.08,1.3,-0.76,-2.49,0.71,0.64,1.58,0.74,1.8,-0.37,79,29/6/2020
20200702,0.35,4.51,1.15,1.19,0.48,-0.36,0.24,0.69,0.4,0.23,79,29/6/2020
20200706,0.69,7.64,1.33,0.45,1.85,1.5,2.81,0.75,-1.18,1.71,80,6/7/2020
20200707,-0.05,-0.17,-1.38,-3.18,-0.77,-0.7,-0.75,-0.25,-0.52,-1.97,80,6/7/2020
20200708,-0.22,-0.84,-0.03,0.06,1.67,0.56,0.93,0.28,0.62,0.86,80,6/7/2020
20200709,-1.74,0.09,-1.56,-4.81,0.56,-0.99,1.15,-0.49,-1.59,-2.09,80,6/7/2020
20200710,2.36,6.99,1.57,3.26,0.05,1.85,0.92,-0.4,1.93,2.47,80,6/7/2020
20200713,-0.34,-1.84,-0.01,-0.66,-2.42,-1.12,-1.7,-0.29,0,-0.17,81,13/7/2020
20200714,1.54,1.95,2.18,3.62,1.06,1.49,0.82,1.9,1.07,1.25,81,13/7/2020
20200715,0.71,2.65,1.69,1.92,0.55,1.05,0,1.86,0.02,2.25,81,13/7/2020
20200716,0.27,-1.41,-0.09,-0.44,-0.91,0.38,-0.08,-0.43,1.09,-0.2,81,13/7/2020
20200717,0.49,-0.45,0.19,-1.62,0.54,0.07,-0.4,1.76,1.97,-0.42,81,13/7/2020
20200720,-1.19,4.83,-0.79,-1.65,2.6,-0.65,2.93,0.37,-1.5,-0.34,82,20/7/2020
20200721,1.57,-1.94,1.12,6.31,-0.91,0.63,-0.15,-0.67,0.94,1.17,82,20/7/2020
20200722,0.91,1.34,0.96,-1.22,0.58,-0.02,0.28,0.61,1.2,0.27,82,20/7/2020
20200723,0.39,-2.23,-0.03,-0.05,-2.48,-0.38,-1.75,-0.78,0.03,-0.2,82,20/7/2020
20200724,-0.08,-3.84,-0.65,-0.65,-1.07,0.45,0.24,-1.41,-0.71,-0.61,82,20/7/2020
20200727,0.94,5.04,0.76,0.17,1.67,-0.24,0.81,1.15,-1.34,-0.11,83,27/7/2020
20200728,-0.26,-2.4,-0.87,-1.82,-1.3,0.16,-1.1,-0.33,1.43,-0.51,83,27/7/2020
20200729,0.62,1.22,1.01,2.04,1.74,0.4,1.13,0.43,0.79,1.9,83,27/7/2020
20200730,-0.85,-1.23,-0.72,-4.09,0.63,-0.19,0.09,-0.26,-0.25,-1.24,83,27/7/2020
20200731,-0.4,-2.61,-0.51,-0.52,2.12,0.46,1.21,-0.82,0.07,-0.26,83,27/7/2020
20200803,-0.28,2.85,0.58,0.28,2.02,0.16,-0.3,1.51,-0.88,0.5,84,3/8/2020
20200804,0.6,0.28,0.71,2.11,0.04,1.17,1.13,-0.36,1.34,0.2,84,3/8/2020
20200805,0.37,0.84,1.7,1.23,0.36,0.65,0.83,0.25,-1.02,1.7,84,3/8/2020
20200806,-0.23,-0.12,-0.37,-0.65,1.4,0.98,0.42,-0.63,0.35,0.39,84,3/8/2020
20200807,0.65,-0.95,0.99,0.17,-1.32,0.86,-0.28,0.2,1.82,1.47,84,3/8/2020
20200810,0.43,-0.24,1.94,3.24,-0.57,0.34,0.29,-0.56,0.18,0.89,85,10/8/2020
20200811,-0.19,-1.16,0.12,-0.36,-1.83,-0.31,-0.97,-1.11,-1.97,0.54,85,10/8/2020
20200812,1.15,6.42,0.75,1.15,2.12,0.55,1.74,1.47,1.39,0.16,85,10/8/2020
20200813,-0.03,1.87,-0.34,-1.98,0.41,-0.12,-0.07,0.11,-0.46,-0.48,85,10/8/2020
20200814,-0.09,1.07,0.19,1,-0.29,0.3,0.07,-0.44,-0.52,0.24,85,10/8/2020
20200817,0.24,6.55,-0.31,-0.65,0.69,-0.25,1.28,1.3,-0.17,-0.67,86,17/8/2020
20200818,0.29,1.32,-0.32,-1.37,0.65,-0.04,1.3,-0.05,-0.57,-0.53,86,17/8/2020
20200819,-0.66,-0.52,-0.26,-1.14,-0.29,-0.34,-0.87,-0.48,-0.36,-0.06,86,17/8/2020
20200820,-0.15,3.45,-0.62,-2.19,1.38,-0.12,-0.02,-0.03,-0.95,-0.35,86,17/8/2020
20200821,-0.13,1.08,0.11,-0.79,0.78,-0.24,0.23,-0.2,0.05,-0.05,86,17/8/2020
20200824,1.36,-0.12,1.77,2.86,0.64,1.35,0.75,-0.56,1.02,1.68,87,24/8/2020
20200825,-0.17,-0.07,-0.3,-1.22,0.73,-0.41,0.51,0.83,-0.96,0.27,87,24/8/2020
20200826,0.38,4.01,0.07,-2.31,2.39,0.82,1.4,-0.18,-1.39,0,87,24/8/2020
20200827,0.34,2.44,-0.08,0.3,-0.47,0.31,-0.18,0.6,0.47,1.08,87,24/8/2020
20200828,1.01,-0.26,0.89,1.71,0.77,0.45,0.51,0.1,0.39,0.93,87,24/8/2020
20200831,-0.51,7.23,-1.15,-2.3,0.45,-0.63,0.15,0.62,0.07,-1.17,88,31/8/2020
20200901,-0.12,-2.55,1.31,-0.76,2.15,0.07,1.46,-1.26,-1.13,0.6,88,31/8/2020
20200902,2.36,-2.97,1.95,-0.74,1.09,1.33,1.08,1.82,2.73,1.34,88,31/8/2020
20200903,-1.85,-6.89,-2.88,-0.8,-5.67,-1.41,-3.51,-3.01,-1.12,-2.16,88,31/8/2020
20200904,-0.11,1.68,0.01,-0.33,-1.79,-0.43,-1.5,-0.66,-0.57,0.06,88,31/8/2020
20200908,-1.97,-12.48,-2.12,-4.06,-4.13,-0.54,-2.64,-1.64,-0.83,-2.09,89,7/9/2020
20200909,1.08,6.2,1.67,0.58,2.94,0.68,2.41,1.98,1.18,1.09,89,7/9/2020
20200910,-0.85,0.13,-1.14,-3.76,-1.97,-1.05,-1.91,-1.59,-1.88,-1.38,89,7/9/2020
20200911,0.58,0.49,1.18,0.23,-0.66,0.01,-0.6,0.35,0.2,0.37,89,7/9/2020
20200914,0.88,8.07,1.33,0.6,1.6,0.82,0.57,2.37,1.44,1.65,90,14/9/2020
20200915,0.05,4.39,-0.15,-0.75,1.18,0.99,0.99,0.44,0.44,-0.51,90,14/9/2020
20200916,-0.56,-1.15,0.41,4.02,-1.56,0.35,-1,0.13,0.23,0.76,90,14/9/2020
20200917,-0.96,-2.52,0.17,0.35,-1.14,-1.23,-1.23,-0.2,-0.82,-0.76,90,14/9/2020
20200918,-1.27,2.16,-1.08,-0.96,-1.36,-0.73,-1.16,0.09,-1.74,-0.57,90,14/9/2020
20200921,-1.31,0.14,-2.74,-3.32,0.52,-1.61,-0.53,-1.88,-0.69,-2.65,91,21/9/2020
20200922,0.54,-3.46,1.04,-1.04,1.76,1.28,2.76,0.25,0.58,-0.14,91,21/9/2020
20200923,-1.61,-6.95,-1.46,-4.59,-2.92,-2.4,-2.65,-1.36,-1.84,-2.25,91,21/9/2020
20200924,0.47,0.97,0.17,0.16,0.46,0.34,0.27,-0.8,1.09,0.27,91,21/9/2020
20200925,0.85,3.08,0.98,0.06,2.39,0.75,1.44,1.75,1.48,1.43,91,21/9/2020
20200928,1.52,3.16,1.56,2.33,1.67,1.37,1.97,0.7,0.46,2.03,92,28/9/2020
20200929,-0.77,-0.65,-0.51,-2.73,-0.04,-0.53,-0.67,0,-0.13,-0.83,92,28/9/2020
20200930,1.09,1.78,0.38,-0.16,0.68,0.05,0.81,1.28,0.72,0.95,92,28/9/2020
20201001,0.74,3.37,-0.04,-2.99,1.19,0.34,1.58,-0.27,0.69,0.71,92,28/9/2020
20201002,-0.1,-4.23,0.54,0.98,-2.2,-1,-1.18,-1.25,1.22,0.46,92,28/9/2020
20201005,0.84,2.61,1.85,3.01,2.25,0.99,1.69,2.44,1.4,1.7,93,5/10/2020
20201006,-0.88,-2.01,-0.83,-1.52,-1.41,-1.31,-2.01,-1.32,0.66,-1.12,93,5/10/2020
20201007,1.71,2.84,1.88,1.48,1.73,1.01,2.14,1.98,0.74,2.02,93,5/10/2020
20201008,0.74,0.6,0.9,3.79,0.6,0.8,0.46,0.48,1.96,1.06,93,5/10/2020
20201009,0.79,1.14,0.56,-1.47,1.52,0.12,1.35,0.78,-0.23,0.45,93,5/10/2020
20201012,1.15,1.44,0.45,0.35,2.66,0.94,2.19,0.57,0.68,0.72,94,12/10/2020
20201013,-0.11,0.62,-0.64,-1.68,-0.22,0.18,0.34,-0.44,-0.74,-1.28,94,12/10/2020
20201014,-0.44,1.61,0.12,0.09,-0.61,-1.74,-1.34,-0.66,-0.04,-0.83,94,12/10/2020
20201015,0.16,-1.37,0.4,1.35,-0.42,-0.17,0.18,-0.93,0.01,0.55,94,12/10/2020
20201016,-0.31,-0.97,0.35,-1.99,-0.12,-0.11,-0.8,0.71,0.76,0.1,94,12/10/2020
20201019,-1.23,-1.41,-1.17,-2.32,-1.63,-2,-1.62,-1.62,-0.88,-1.48,95,19/10/2020
20201020,-0.57,-0.67,0.27,1.16,0.43,-0.04,0.45,-0.24,0.63,0.79,95,19/10/2020
20201021,-0.27,0.08,-0.39,-1.92,0.11,0.19,-0.62,-1.02,-0.33,-0.68,95,19/10/2020
20201022,0.71,1.26,0.47,4.18,0.03,1.43,-0.25,1.46,1.71,1.34,95,19/10/2020
20201023,0.28,-0.58,0.43,-0.39,0.39,-0.05,0.73,0.35,0.22,0.48,95,19/10/2020
20201026,-1.72,-1.07,-2.09,-3.67,-2.08,-1.97,-1.18,-0.97,-0.4,-2.36,96,26/10/2020
20201027,-0.34,0.25,-1.44,-1.43,0.69,-0.56,0.67,-0.51,-0.18,-1.63,96,26/10/2020
20201028,-3.02,-3.83,-2.96,-4.37,-4.06,-2.65,-3.04,-3.04,-2.95,-3.13,96,26/10/2020
20201029,0.15,1.16,1.2,3.23,1.82,1.38,0.63,-0.1,0.36,0.98,96,26/10/2020
20201030,-0.88,-3.83,-0.47,0.15,-2.29,0.4,-2.79,-0.77,-0.82,-0.24,96,26/10/2020
20201102,1.75,2.6,2.54,3.95,0.26,-0.01,0.54,1.28,2.03,2.11,97,2/11/2020
20201103,1.44,4.22,2.29,-0.78,1.77,1.42,2.14,1.38,1.44,2.44,97,2/11/2020
20201104,0.31,-0.88,-0.87,0.05,4.32,1.31,2.76,4,-1.57,0.6,97,2/11/2020
20201105,0.91,3.96,2.74,0.28,2.71,1.86,1.96,0.22,0.91,2.31,97,2/11/2020
20201106,-0.14,-0.74,0.24,-1.79,0.49,0.57,0.15,-0.2,-0.54,-0.71,97,2/11/2020
20201109,0.95,-1.05,1.77,14.04,-2.01,3.46,-2.29,0.93,2.57,5.74,98,9/11/2020
20201110,2,-0.56,1.54,3.06,-2,1.13,-0.55,0.54,1.94,0.92,98,9/11/2020
20201111,0.77,1,-0.45,-0.68,2.36,-0.1,1.53,0.15,0.25,-0.57,98,9/11/2020
20201112,-0.81,-1.49,-1.26,-3.55,-0.61,-0.43,-0.85,-0.55,-1.83,-1.32,98,9/11/2020
20201113,1.23,0.71,2.02,3.84,0.81,1.7,1.06,1.34,1.31,1.73,98,9/11/2020
20201116,1.7,0.89,1.97,6.41,0.73,1.25,1.05,-0.07,1.11,1.96,99,16/11/2020
20201117,-0.02,4.56,0.05,0.93,-0.35,0.22,-0.81,-0.18,-1.54,-0.29,99,16/11/2020
20201118,-1.22,5.99,-0.73,-2.81,-1.12,-0.8,-0.75,-1.55,-2.04,-0.93,99,16/11/2020
20201119,0.39,2.09,0.36,1.48,1.07,-0.03,0.66,0.35,-0.62,0.02,99,16/11/2020
20201120,-0.34,-1.12,-0.47,-0.61,-0.61,0,-0.56,0.2,0.03,-0.9,99,16/11/2020
20201123,0.45,5.02,1.58,7.33,-0.16,1.03,0.66,-0.16,0.47,1.6,100,23/11/2020
20201124,1.12,4.87,1.64,5.32,1.12,2.19,0.96,0.03,1.52,2.55,100,23/11/2020
20201125,-0.47,1.47,-0.77,-2.42,0.45,-0.64,0.63,-0.12,0.03,-0.45,100,23/11/2020
20201127,0,1.15,0.13,-1.28,0.84,-0.01,0.27,1.46,-0.97,-0.15,100,23/11/2020
20201130,-0.37,-2.25,-1.07,-5.64,0.45,-0.46,-0.42,0.46,-1.67,-1.57,101,30/11/2020
